Format,ID,Version,Count
Plain Text File,x-fmt/111,,8
Acrobat PDF 1.3 - Portable Document Format,fmt/17,1.3,6
ZIP Format,x-fmt/263,,5
GZIP Format,x-fmt/266,,4
Microsoft Word Document,fmt/40,97-2003,4
Microsoft Word for Windows,fmt/412,2007 onwards,4
AppleDouble Resource Fork,fmt/503,2,2
Extensible Markup Language,fmt/101,1.0,2
JPEG File Interchange Format,fmt/43,1.01,2
XML Property List,fmt/979,,2
,UNKNOWN,,1
Apple iWorks Keynote,fmt/646,09,1
Microsoft Excel 97 Workbook (xls),fmt/61,8,1
Microsoft Excel for Windows,fmt/214,2007 onwards,1
Rich Text Format,fmt/50,1.5-1.6,1
